date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:12:44	84355/84355	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494f-14983%22	http://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	D:/xampp/htdocs/Atlancey/luxasia/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://www.luxasia.com/)
03:12:46	52828/52828	---M-Z	200	added ('OK')	text/css	date:Fri,%2027%20Mar%202020%2005:46:28%20GMT	https://www.luxasia.com/wp-content/plugins/gutenberg/build/block-library/style.css	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/plugins/gutenberg/build/block-library/style.css	(from https://www.luxasia.com/)
03:12:48	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20May%202020%2021:42:46%20GMT	https://www.luxasia.com/contact	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/contact.e.delayed	(from https://www.luxasia.com/)
03:12:48	2358/2358	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Aug%202019%2005:36:28%20GMT	https://www.luxasia.com/wp-content/themes/luxasia/assets/images/logo.png	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/themes/luxasia/assets/images/logo.png	(from https://www.luxasia.com/)
03:12:49	35088/35088	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:48%20GMT	https://www.luxasia.com/contact/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/contact/index.html	(from https://www.luxasia.com/)
03:12:49	119168/119168	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2010:25:21%20GMT	https://www.luxasia.com/wp-content/themes/luxasia/assets/images/homepage-map-2.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/themes/luxasia/assets/images/homepage-map-2.jpg	(from https://www.luxasia.com/)
03:12:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20May%202020%2021:42:49%20GMT	https://www.luxasia.com/businesses	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/businesses	(from https://www.luxasia.com/)
03:12:51	48167/48167	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:49%20GMT	https://www.luxasia.com/businesses/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/businesses/index.html	(from https://www.luxasia.com/)
03:12:51	83656/83656	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:49%20GMT	https://www.luxasia.com/about/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/about/index.html	(from https://www.luxasia.com/)
03:12:52	51071/51071	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:49%20GMT	https://www.luxasia.com/retail/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/retail/index.html	(from https://www.luxasia.com/)
03:12:52	41485/41485	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:50%20GMT	https://www.luxasia.com/ecommerce/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/ecommerce/index.html	(from https://www.luxasia.com/)
03:12:53	66168/66168	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2010:25:21%20GMT	https://www.luxasia.com/wp-content/themes/luxasia/assets/images/homepage-map.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/themes/luxasia/assets/images/homepage-map.jpg	(from https://www.luxasia.com/)
03:12:53	41862/41862	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:51%20GMT	https://www.luxasia.com/distribution/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/distribution/index.html	(from https://www.luxasia.com/)
03:12:53	39106/39106	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:51%20GMT	https://www.luxasia.com/consumer/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/consumer/index.html	(from https://www.luxasia.com/)
03:12:53	54920/54920	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:52%20GMT	https://www.luxasia.com/brands/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/brands/index.html	(from https://www.luxasia.com/)
03:12:54	3992/3992	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:49:25%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/01_albion.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/01_albion.jpg	(from https://www.luxasia.com/)
03:12:54	2392/2392	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:49:30%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/02_aveda.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/02_aveda.jpg	(from https://www.luxasia.com/)
03:12:54	42269/42269	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:53%20GMT	https://www.luxasia.com/cases/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/cases/index.html	(from https://www.luxasia.com/)
03:12:55	5732/5732	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:49:36%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/03_annasui.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/03_annasui.jpg	(from https://www.luxasia.com/)
03:12:55	54964/54964	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:54%20GMT	https://www.luxasia.com/media/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/media/index.html	(from https://www.luxasia.com/)
03:12:56	36030/36030	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:54%20GMT	https://www.luxasia.com/events/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/events/index.html	(from https://www.luxasia.com/)
03:12:56	76732/76732	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:53%20GMT	https://www.luxasia.com/talents/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/talents/index.html	(from https://www.luxasia.com/)
03:12:56	5372/5372	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:49:40%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/04_benefit.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/04_benefit.jpg	(from https://www.luxasia.com/)
03:12:57	29985/29985	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:55%20GMT	https://www.luxasia.com/shop/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/shop/index.html	(from https://www.luxasia.com/)
03:12:58	4307/4307	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:49:44%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/05_bvlgari.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/05_bvlgari.jpg	(from https://www.luxasia.com/)
03:12:58	57719/57719	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:56%20GMT	https://www.luxasia.com/btype/fragrances/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/btype/fragrances/index.html	(from https://www.luxasia.com/)
03:12:58	57807/57807	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:56%20GMT	https://www.luxasia.com/btype/skincare-cosmetics/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/btype/skincare-cosmetics/index.html	(from https://www.luxasia.com/)
03:12:58	57838/57838	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:56%20GMT	https://www.luxasia.com/btype/hair-home-accessories/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/btype/hair-home-accessories/index.html	(from https://www.luxasia.com/)
03:12:58	4683/4683	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:49:49%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/06_burberry.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/06_burberry.jpg	(from https://www.luxasia.com/)
03:12:59	4115/4115	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:49:54%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/07_byterry.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/07_byterry.jpg	(from https://www.luxasia.com/)
03:12:59	4559/4559	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:49:59%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/08_calvinklein.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/08_calvinklein.jpg	(from https://www.luxasia.com/)
03:12:59	57689/57689	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:42:58%20GMT	https://www.luxasia.com/btype/luxury-lifestyle/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/btype/luxury-lifestyle/index.html	(from https://www.luxasia.com/)
03:12:59	2180/2180	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:50:04%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/09_diptyque.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/09_diptyque.jpg	(from https://www.luxasia.com/)
03:13:00	1687/1687	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:50:38%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/10_dior.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/10_dior.jpg	(from https://www.luxasia.com/)
03:13:00	6109/6109	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:50:45%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/11_drbrandt.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/11_drbrandt.jpg	(from https://www.luxasia.com/)
03:13:00	6914/6914	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:51:24%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/12_elizabeth-arden.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/12_elizabeth-arden.jpg	(from https://www.luxasia.com/)
03:13:01	3548/3548	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:51:27%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/13_fresh.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/13_fresh.jpg	(from https://www.luxasia.com/)
03:13:01	2710/2710	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:51:32%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/14_guerlain.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/14_guerlain.jpg	(from https://www.luxasia.com/)
03:13:03	4330/4330	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:51:37%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/15_hermes.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/15_hermes.jpg	(from https://www.luxasia.com/)
03:13:03	4482/4482	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:51:40%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/16_la-prairie.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/16_la-prairie.jpg	(from https://www.luxasia.com/)
03:13:03	3074/3074	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:51:41%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/17_montblanc.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/17_montblanc.jpg	(from https://www.luxasia.com/)
03:13:04	3874/3874	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:51:53%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/18_peterthomasroth.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/18_peterthomasroth.jpg	(from https://www.luxasia.com/)
03:13:04	2798/2798	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:51:55%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/19_safilo.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/19_safilo.jpg	(from https://www.luxasia.com/)
03:13:05	6090/6090	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:54:16%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/20_salvatore-ferragamo.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/20_salvatore-ferragamo.jpg	(from https://www.luxasia.com/)
03:13:05	3925/3925	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:54:19%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/21_shiseido.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/21_shiseido.jpg	(from https://www.luxasia.com/)
03:13:06	5098/5098	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2012:46:54%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/sk-ii-logo-png-transparent-2.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/sk-ii-logo-png-transparent-2.jpg	(from https://www.luxasia.com/)
03:13:06	4089/4089	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2011:54:25%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/22_yves-rocher.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/22_yves-rocher.jpg	(from https://www.luxasia.com/)
03:13:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20May%202020%2021:43:06%20GMT	https://www.luxasia.com/brands	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/brands	(from https://www.luxasia.com/)
03:13:09	53701/53701	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2012:03:18%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/homepage-people_1.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/homepage-people_1.jpg	(from https://www.luxasia.com/)
03:13:10	157590/157590	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2012:03:23%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/homepage-people_2.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/homepage-people_2.jpg	(from https://www.luxasia.com/)
03:13:11	79158/79158	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2012:03:25%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/homepage-people_3.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/homepage-people_3.jpg	(from https://www.luxasia.com/)
03:13:12	75841/75841	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2012:03:28%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/homepage-people_4.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/homepage-people_4.jpg	(from https://www.luxasia.com/)
03:13:12	53698/53698	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Aug%202019%2012:03:30%20GMT	https://www.luxasia.com/wp-content/uploads/2019/07/homepage-people_5.jpg	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/uploads/2019/07/homepage-people_5.jpg	(from https://www.luxasia.com/)
03:13:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20May%202020%2021:43:11%20GMT	https://www.luxasia.com/talents	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/talents	(from https://www.luxasia.com/)
03:13:13	6784/6784	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Aug%202019%2010:25:32%20GMT	https://www.luxasia.com/wp-content/themes/luxasia/assets/js/instafeed.min.js	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/themes/luxasia/assets/js/instafeed.min.js	(from https://www.luxasia.com/)
03:13:14	1461/1461	---M--	999	error ('Request%20denied')	text/html	date:Tue,%2019%20May%202020%2021:43:13%20GMT	https://sg.linkedin.com/company/luxasia	D:/xampp/htdocs/Atlancey/luxasia/sg.linkedin.com/company/luxasia.32.delayed	(from https://www.luxasia.com/)
03:13:18	45319/45319	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:43:16%20GMT	http://cloud.e.luxasia.com/luxasia-connect-with-us	D:/xampp/htdocs/Atlancey/luxasia/cloud.e.luxasia.com/luxasia-connect-with-us.html	(from https://www.luxasia.com/)
03:13:19	109455/109455	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:43:14%20GMT	https://www.instagram.com/luxasia/?hl=en	D:/xampp/htdocs/Atlancey/luxasia/www.instagram.com/luxasia/indexfef7.html	(from https://www.luxasia.com/)
03:13:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20May%202020%2021:43:17%20GMT	https://www.luxasia.com/terms	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/terms	(from https://www.luxasia.com/)
03:13:20	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2019%20May%202020%2021:43:13%20GMT	https://www.facebook.com/LuxasiaSG/	D:/xampp/htdocs/Atlancey/luxasia/www.facebook.com/LuxasiaSG/index.html	(from https://www.luxasia.com/)
03:13:21	25031/25031	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:43:19%20GMT	https://www.luxasia.com/terms-of-use/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/terms-of-use/index.html	(from https://www.luxasia.com/)
03:13:21	33537/33537	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:43:20%20GMT	https://www.luxasia.com/privacy/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/privacy/index.html	(from https://www.luxasia.com/)
03:13:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20May%202020%2021:43:20%20GMT	https://www.luxasia.com/copyright	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/copyright.35.delayed	(from https://www.luxasia.com/)
03:13:22	72516/72516	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Aug%202019%2010:23:44%20GMT	https://www.luxasia.com/wp-content/themes/luxasia/assets/vendor.js	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/themes/luxasia/assets/vendor.js	(from https://www.luxasia.com/)
03:13:22	1364/1364	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Aug%202019%2010:21:08%20GMT	https://www.luxasia.com/wp-content/plugins/luxasia/contact.js	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/wp-content/plugins/luxasia/contact.js	(from https://www.luxasia.com/)
03:13:23	5/5	---M--	200	added ('OK')	text/css	etag:%225e4c744c-5%22	https://p.typekit.net/p.css?s=1&k=wpi1ftc&ht=tk&f=15708.15709.22708.37462&a=785488&app=typekit&e=css	D:/xampp/htdocs/Atlancey/luxasia/p.typekit.net/p615e.css	(from https://use.typekit.net/wpi1ftc.css)
03:13:23	23019/23019	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202020%2021:43:21%20GMT	https://www.luxasia.com/copyright-notice/	D:/xampp/htdocs/Atlancey/luxasia/www.luxasia.com/copyright-notice/index.html	(from https://www.luxasia.com/)
03:13:23	45996/45996	---M--	200	added ('OK')	application/font-woff2	etag:%22d8f0e75543cc417069e2148d573e1b3687264d73%22	https://use.typekit.net/af/180254/00000000000000000001522c/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	D:/xampp/htdocs/Atlancey/luxasia/use.typekit.net/af/180254/00000000000000000001522c/27/le196	(from https://use.typekit.net/wpi1ftc.css)
03:13:24	54264/54264	---M--	200	added ('OK')	application/font-woff	etag:%22d8f0e75543cc417069e2148d573e1b3687264d73%22	https://use.typekit.net/af/180254/00000000000000000001522c/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	D:/xampp/htdocs/Atlancey/luxasia/use.typekit.net/af/180254/00000000000000000001522c/27/de196	(from https://use.typekit.net/wpi1ftc.css)
03:13:24	101852/101852	---M-Z	200	added ('OK')	font/opentype	etag:W/%22d8f0e75543cc417069e2148d573e1b3687264d73%22	https://use.typekit.net/af/180254/00000000000000000001522c/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	D:/xampp/htdocs/Atlancey/luxasia/use.typekit.net/af/180254/00000000000000000001522c/27/ae196	(from https://use.typekit.net/wpi1ftc.css)
03:13:24	44884/44884	---M--	200	added ('OK')	application/font-woff2	etag:%2204a013eb45c5c7ece072a01171ce43ff1acecfc0%22	https://use.typekit.net/af/a2df1e/00000000000000000001522a/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	D:/xampp/htdocs/Atlancey/luxasia/use.typekit.net/af/a2df1e/00000000000000000001522a/27/l3eab	(from https://use.typekit.net/wpi1ftc.css)
03:13:25	53300/53300	---M--	200	added ('OK')	application/font-woff	etag:%2204a013eb45c5c7ece072a01171ce43ff1acecfc0%22	https://use.typekit.net/af/a2df1e/00000000000000000001522a/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	D:/xampp/htdocs/Atlancey/luxasia/use.typekit.net/af/a2df1e/00000000000000000001522a/27/d3eab	(from https://use.typekit.net/wpi1ftc.css)
